bat_room	mapflag	novending
prontera	mapflag	autotrade
prontera	mapflag	nodrop
iz_dun05	mapflag	noteleport
iz_dun05	mapflag	nowarp
iz_dun05	mapflag	nowarpto
iz_dun05	mapflag	nosave
monk_test	mapflag	nosave
monk_test	mapflag	nowarp
monk_test	mapflag	nowarpto
monk_test	mapflag	noteleport
quiz_01	mapflag	noteleport
quiz_01	mapflag	nowarp
quiz_01	mapflag	nosave
quiz_01	mapflag	nowarpto
guild_vs2-2	mapflag	nosave
guild_vs2-2	mapflag	nowarp
guild_vs2-2	mapflag	nowarpto
guild_vs2-2	mapflag	noteleport
quiz_02	mapflag	noteleport
quiz_02	mapflag	nosave
